央视频道,#genre#
1905电影网,http://111.229.128.166:7110/live/1905.php?id=1905a$左右换源
CCTV1综合,http://
CCTV2财经,http://111.229.128.166:7110/live/cctv2.php$左右换源
CCTV3综艺,http://
CCTV4中文国际,http://
CCTV4欧洲,http://
CCTV4美洲,http://
CCTV5体育,http://
CCTV5+体育赛事,http://
CCTV6电影,http://
CCTV7国防军事,https://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF$左右换源
CCTV8电视剧,http://
CCTV9纪录,http://
CCTV10科教,http://
CCTV11戏曲,http://
CCTV12社会与法,http://
CCTV13新闻,http://101.200.77.82:35455/douyin/870887192950$左右换源 抖
CCTV13新闻,http://101.200.77.82:35455/douyin/50828500437$左右换源 抖2
CCTV13新闻,http://111.229.128.166:7110/live/douyin.php?id=870887192950$左右换源
CCTV13新闻,http://111.229.128.166:7110/live/douyin.php?id=127453393722$左右换源
CCTV13新闻,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=a4d04c27d0d1d8b7efef2ed7ff1c3eae&txTime=191b60cc9ca
CCTV14少儿,http://
CCTV15音乐,http://
CCTV16奥林匹克,http://
CCTV17农业农村,http://
CCTV16 4K,http://
CCTV4K,http://
CCTV8K,http://
4K UHD,http://




CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn_1.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN纪录,http://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN纪录,http://english-livebkali.cgtn.com/live/doccgtn_1.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN法语,http://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd.m3u8
CGTN阿语,http://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8

CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN,http://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN纪录,http://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN西语,http://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN法语,http://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN阿语,http://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
CGTN俄语,http://news.cgtn.com/resource/live/russian/cgtn-r.m3u8

中国国际教育1,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
中国国际教育2,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
中国国际教育3,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
中国国际教育4,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8

CETV1,http://
CETV2,http://
CETV3,http://
CETV4,http://

发现之旅,http://
中学生,http://
老故事,http://

重温经典,http://148.135.93.213/live.php?id=重温经典
CHC家庭影院,http://148.135.93.213/live.php?id=CHC家庭影院
CHC动作电影,http://148.135.93.213/live.php?id=CHC动作电影
CHC高清电影,http://
CHC影迷电影,http://

风云音乐,http://
怀旧剧场,http://
风云足球,http://
风云剧场,http://
第一剧场,http://
世界地理,http://
武术世界,http://
兵器科技,http://
高尔夫网球,http://
女性时尚,http://
央视台球,http://
电视指南,http://
央视精品,http://

1905电影网,video://https://m.1905.com/m/xl/live/
CCTV1综合,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=11200132825562653886&toc_style_id=feeds_only_back&share_to=copy_url&track_id=c3e89ea6-77d8-4230-89a3-a492aa16ee4c
CCTV2财经,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=12030532124776958103&toc_style_id=feeds_only_back&share_to=copy_url&track_id=8ff44314-c7a7-4241-be6e-11a7b7224db4
CCTV4中文国际,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=10620168294224708952&toc_style_id=feeds_only_back&share_to=copy_url&track_id=7f4e2027-e822-49f3-88b1-2ffe00919f92
CCTV6电影,video://https://m.1905.com/m/cctv6/gzh/
CCTV7国防军事,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=8516529981177953694
CCTV9纪录,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=7252237247689203957
CCTV10科教,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=14589146016461298119
CCTV13新闻,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=16265686808730585228&toc_style_id=feeds_only_back&share_to=copy_url&track_id=ac0e1dc7-d2a2-403b-ad45-9ed44fe89895
CCTV13新闻,video://https://live.douyin.com/870887192950
CCTV13新闻,video://https://live.douyin.com/127453393722
CCTV13新闻,video://https://live.douyin.com/547977714661
CCTV4k,video://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=2127841942201075403

CCTV1综合,http://218.94.31.154:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://218.94.31.154:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://218.94.31.154:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://218.94.31.154:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://218.94.31.154:1111/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://218.94.31.154:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://218.94.31.154:1111/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://218.94.31.154:1111/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://218.94.31.154:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://218.94.31.154:1111/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://218.94.31.154:1111/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://218.94.31.154:1111/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://218.94.31.154:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://218.94.31.154:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://218.94.31.154:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1综合,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv1
CCTV2财经,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv2
CCTV3综艺,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv3
CCTV4中文国际,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv4
CCTV4欧洲,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv4o
CCTV4美洲,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv4a
CCTV5体育,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv5
CCTV5+体育赛事,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv5p
CCTV6电影,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv6
CCTV7国防军事,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv7
CCTV8电视剧,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv8
CCTV9纪录,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv9
CCTV10科教,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv10
CCTV11戏曲,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv11
CCTV12社会与法,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv12
CCTV13新闻,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv13
CCTV14少儿,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv14
CCTV15音乐,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv15
CCTV17农业农村,http://zba.sxdh.org/migu.php?v=index.php?&id=cctv17
CGTN纪录,http://zba.sxdh.org/migu.php?v=index.php?&id=cgtnjl
CGTN西语,http://zba.sxdh.org/migu.php?v=index.php?&id=cgtne
CGTN阿语,http://zba.sxdh.org/migu.php?v=index.php?&id=cgtna
CGTN法语,http://zba.sxdh.org/migu.php?v=index.php?&id=cgtnf
CGTN俄语,http://zba.sxdh.org/migu.php?v=index.php?&id=cgtnr
发现之旅,http://zba.sxdh.org/migu.php?v=index.php?&id=fxzl
老故事,http://zba.sxdh.org/migu.php?v=index.php?&id=lgs
中学生,http://zba.sxdh.org/migu.php?v=index.php?&id=zxs

CCTV1综合,http://nas.swes.cn:8089/udp/239.93.0.184:5140
CCTV2财经,http://nas.swes.cn:8089/udp/239.93.1.23:6000
CCTV3综艺,http://api.azili.top:6666/udp/239.76.253.153:9000
CCTV4中文国际,http://nas.swes.cn:8089/udp/239.93.1.105:5140
CCTV5体育,http://nas.swes.cn:8089/udp/239.93.42.37:5140
CCTV5+体育赛事,http://nas.swes.cn:8089/udp/239.93.1.36:8004
CCTV6电影,http://api.azili.top:6666/udp/239.76.253.156:9000
CCTV7国防军事,http://nas.swes.cn:8089/udp/239.93.1.67:5140
CCTV8电视剧,http://nas.swes.cn:8089/udp/239.93.42.39:5140
CCTV9纪录,http://nas.swes.cn:8089/udp/239.93.1.24:5140
CCTV10科教,http://nas.swes.cn:8089/udp/239.93.1.28:5140
CCTV11戏曲,http://nas.swes.cn:8089/udp/239.93.0.102:5140
CCTV12社会与法,http://nas.swes.cn:8089/udp/239.93.1.30:8124
CCTV13新闻,http://nas.swes.cn:8089/udp/239.93.0.66:5140
CCTV14少儿,http://nas.swes.cn:8089/udp/239.93.1.29:6000
CCTV15音乐,http://nas.swes.cn:8089/udp/239.93.0.103:5140
CCTV16奥林匹克,http://api.azili.top:6666/udp/239.76.253.98:9000
CCTV17农业农村,http://nas.swes.cn:8089/udp/239.93.0.92:5140

CCTV1综合,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/222
CCTV2财经,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/119
CCTV3综艺,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/196
CCTV4中文国际,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00086/000/29749/index.m3u8?fmt=ts2hls
CCTV4欧洲,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/150000/00000/00B/144
CCTV4美洲,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/150000/00000/00B/142
CCTV5体育,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/197
CCTV5+体育赛事,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/220
CCTV6电影,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/198
CCTV7国防军事,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/120
CCTV8电视剧,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/199
CCTV9纪录,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/121
CCTV10科技,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/122
CCTV11戏曲,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00086/000/32449/index.m3u8?fmt=ts2hls
CCTV12社会与法,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/123
CCTV13新闻,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/246
CCTV14少儿,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00A/20
CCTV15音乐,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00086/000/32504/index.m3u8?fmt=ts2hls
CCTV16奥林匹克,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00B/192
CCTV17农业农村,https://cn-all-iptv.myukj.cn/Stable/v5.8.1.S/086/330000/00000/00A/113

CCTV1,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=16015_1.m3u8?key=txiptv&playlive=1&authid=0
